Gender,Manager Level,Title,Age,Education Degree,Confident,Capable,Efficient,Intelligent,Friendly,Trustworthy,Warm,Sincere,Jealous,Envious,Admiring,Proud,Inspired,Angry,Disgusted,Hateful,Frustrated,Ashamed,Pity,Sympathy
Female,Middle,Supervisor,45,Bachelor,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral
Male,Level,Supervisor,55,Bachelor,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
Male,Level,Organizational Manager,51,Bachelor,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree
Male,Middle,C-Level,41,PhD,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree
Female,Top,Board Member,42,PhD,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral
Male,Top,Vice-president,51,PhD,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree
Female,Middle,Assistant Manager,46,PhD,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree
Female,Level,Supervisor,42,Bachelor,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree
Male,Middle,Vice-president,48,Master,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Male,Middle,Supervisor,43,PhD,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree
